Construct,# Replicates,First Assay Date,Last Assay Date,1FP,3FP,10FP,160FP,,Rise (1FP),Rise (3FP),Rise (10FP),Rise (160FP),,TimeToPeak (1FP),TimeToPeak (3FP),TimeToPeak (10FP),TimeToPeak (160FP),,Decay (1FP),Decay (3FP),Decay (10FP),Decay (160FP),,d-Prime1,d-Prime10,SNR (1FP),SNR (3FP),SNR (10FP),SNR (160FP),,ES50,Norm. F0,dFmax/F0,,1FP(p),3FP(p),10FP(p),160FP(p),,Rise (1FP)(p),Rise (3FP)(p),Rise (10FP)(p),Rise (160FP)(p),,TimeToPeak (1FP)(p),TimeToPeak (3FP)(p),TimeToPeak (10FP)(p),TimeToPeak (160FP)(p),,Decay (1FP)(p),Decay (3FP)(p),Decay (10FP)(p),Decay (160FP)(p),,SNR (1FP)(p),SNR (3FP)(p),SNR (10FP)(p),SNR (160FP)(p),,Norm. F0(p),dFmax/F0(p)
10.641,842,20170626,20200224,1.00000,1.00000,1.00000,1.00000,,1.000000,1.000000,1.000000,1.000000,,1.000000,1.000000,1.000000,1.000000,,1.000000,1.000000,1.000000,1.000000,,0.001589,0.021678,3.158288,8.743279,27.087360,106.599579,,56.41985067,1.000000000,#NUM!,,1.000000000,1.000000000,1.000000000,1.000000000,,1.000000000,1.000000000,1.000000000,1.000000000,,1.000000000,1.000000000,1.000000000,1.000000000,,1.000000000,1.000000000,1.000000000,1.000000000,,0.999466836,0.998928368,0.998423636,0.998087108,,1.000000000,#NUM!
10.693,509,20170626,20191007,0.70881,0.73945,0.69372,0.49765,,0.586761,0.629813,0.746250,0.633877,,0.419076,0.410305,0.434422,0.713221,,0.186118,0.280008,0.253845,0.491974,,-0.002728,0.121972,2.518951,5.729422,15.719817,37.303810,,38.12095211,1.066024184,#NUM!,,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000003,#NUM!
10.921,954,20170626,20200224,1.67950,1.50584,1.05138,0.57178,,0.531881,0.615619,0.697253,0.539158,,0.431064,0.419000,0.474871,0.868813,,0.369523,0.339219,0.357296,0.715677,,0.076428,0.257007,4.774195,14.371641,36.606468,74.210373,,9.846199667,1.162120819,#NUM!,,0.000000000,0.000000000,0.131477973,0.000000000,,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,0.000000000,0.000000000,0.000000000,,0.000000000,#NUM!
10.1473,22,20200224,20200224,4.81144,3.45637,1.88399,0.63652,,0.663628,0.651882,0.659178,0.383246,,0.569880,0.531608,0.568067,0.432856,,0.765103,0.653183,0.960258,#NUM!,,-0.271893,-0.248836,19.068382,61.518051,134.598358,188.403046,,5.199378532,0.822982311,#NUM!,,0.000000000,0.000000000,0.000000003,0.000288315,,0.000000656,0.000000000,0.000000000,0.000000000,,0.000000002,0.000000000,0.000000000,0.000000000,,0.090262653,0.000000000,0.115351319,#NUM!,,0.000000000,0.000000000,0.000000000,0.000000000,,0.000089752,#NUM!
10.1513,12,20200224,20200224,1.79616,1.67895,1.97884,2.55918,,0.621448,0.706861,0.859777,1.250793,,0.696708,0.667165,0.695919,1.077979,,0.675309,0.546647,0.508507,0.970278,,-0.470120,-1.220431,7.303237,30.807503,116.740349,564.018799,,64.65860567,0.534909368,#NUM!,,0.000111012,0.000735328,0.000134524,0.000000624,,0.000082891,0.000000053,0.000000190,0.001843127,,0.000677687,0.000003197,0.000003740,0.093633025,,0.088007756,0.000000011,0.000000003,0.675628171,,0.000000000,0.000000000,0.000000000,0.000000000,,0.000281641,#NUM!
10.1561,12,20200224,20200224,4.50564,2.92843,1.43231,0.44950,,0.901964,0.796055,0.697561,0.372749,,0.710169,0.586487,0.597235,0.442386,,0.607995,0.496551,0.641829,1.182794,,-0.008769,-0.151375,22.017857,67.609634,131.333817,171.846451,,4.145451962,1.738914728,#NUM!,,0.000000005,0.000000028,0.008992646,0.000033363,,0.280590163,0.000002349,0.000000003,0.000000003,,0.001198061,0.000000025,0.000000004,0.000000897,,0.079375053,0.000000005,0.000000005,0.158303934,,0.000000000,0.000000000,0.000000000,0.000000000,,0.000005755,#NUM!
376.13,3,20180813,20180813,0.05774,0.02657,0.02123,0.00456,,0.445876,2.104905,3.986315,6.820035,,0.105688,1.143254,1.776768,1.889843,,0.007972,0.005178,0.004150,0.001682,,-0.066206,0.042059,1.243945,1.995661,1.797276,2.411695,,5.025405015,1.077638626,#NUM!,,0.003114859,0.002774155,0.002774155,0.002774155,,0.035132676,0.003261511,0.002774155,0.002817526,,0.002839437,0.593091240,0.003236636,0.015393238,,0.018735172,0.002817526,0.002817526,0.002802110,,0.000000000,0.000000000,0.000000000,0.000000000,,0.021467183,#NUM!
410.1,14,20170626,20170710,1.18102,0.71681,0.74848,0.56231,,1.655621,1.476151,1.207674,1.267714,,1.892840,1.711141,1.692109,1.210358,,0.439171,1.191709,1.803749,1.242375,,-0.183489,1.814525,2.275842,4.192167,8.396636,31.342974,,41.46530985,0.625346422,#NUM!,,0.187067437,0.018375508,0.005034537,0.000569651,,0.000001404,0.000000950,0.000000012,0.000411093,,0.000114485,0.000000269,0.000000002,0.000165100,,0.171885866,0.000008875,0.000000000,0.194171991,,0.000000000,0.000000000,0.000000000,0.000000000,,0.000023341,#NUM!
410.3,8,20170626,20170626,1.43152,1.08638,0.92684,0.98978,,0.666976,0.798705,0.944330,1.356659,,0.674623,0.871427,0.933940,1.228134,,1.034019,0.873130,0.830984,0.867227,,1.237809,3.225044,3.978088,9.422537,25.452099,115.729340,,58.87049302,1.596585512,#NUM!,,0.011086745,0.353326114,0.820864897,0.496949000,,0.047864071,0.000464101,0.011601560,0.001670597,,0.031725225,0.028276297,0.139417984,0.000337619,,0.655341154,0.005911680,0.000117731,0.046903675,,0.000000000,0.052374560,0.283840656,0.219457462,,0.001041955,#NUM!
410.4,8,20170626,20170626,0.27602,0.14696,0.12234,0.31806,,1.773666,1.992553,1.579098,3.061336,,1.848882,1.264130,1.325525,1.453458,,0.458831,0.592444,0.600042,0.827916,,-0.243109,1.395803,1.997796,2.939001,4.242097,39.382584,,76.09500042,2.788291931,#NUM!,,0.000005677,0.000001314,0.000001258,0.000018525,,0.051739408,0.000003259,0.000001196,0.000001249,,0.000149751,0.034465928,0.000675377,0.000001820,,0.152655181,0.000007926,0.000001249,0.005125056,,0.000000000,0.000000000,0.000000000,0.000000000,,0.000247624,#NUM!
410.6,8,20170626,20170626,0.58608,0.51706,0.47117,0.39415,,0.318912,0.417901,0.600224,0.744901,,0.204541,0.210034,0.322932,1.043312,,0.132463,0.107664,0.109372,0.244961,,0.066916,2.963406,2.466049,5.175575,14.979665,41.474400,,48.08614426,1.753708124,#NUM!,,0.005580734,0.000617110,0.000152391,0.000229229,,0.000003399,0.000001170,0.000001103,0.000770409,,0.000001509,0.000001170,0.000001103,0.576018951,,0.003124665,0.000001324,0.000001240,0.000001256,,0.000000000,0.000000000,0.000000000,0.000000000,,0.002974707,#NUM!
410.7,6,20170626,20170626,0.94996,0.47957,0.33205,0.22987,,2.254891,1.677922,1.363690,1.198913,,1.850985,1.227782,1.279689,1.005009,,0.786614,0.906055,0.984155,1.084817,,0.176632,2.735972,2.548552,3.830386,5.983842,19.733816,,35.29670086,0.958637774,#NUM!,,0.953982472,0.001371342,0.000112010,0.000044310,,0.000120756,0.000049350,0.000028207,0.049082667,,0.001144072,0.028621332,0.006616621,0.989323665,,0.556574903,0.024308159,0.666681133,0.105905267,,0.000000000,0.000000000,0.000000000,0.000000000,,0.616461969,#NUM!
410.8,8,20170626,20170626,1.63923,0.80327,0.48902,0.26682,,1.027635,0.797063,0.794038,0.664863,,0.671889,0.522058,0.562172,0.811726,,0.446476,0.384231,0.338564,0.649869,,0.872027,3.539478,3.435531,6.034369,11.162928,21.604313,,9.870853534,1.204694271,#NUM!,,0.004946236,0.174963691,0.000070739,0.000004649,,0.621235029,0.000084303,0.000001111,0.000004047,,0.007182634,0.000002115,0.000001128,0.174045316,,0.068407505,0.000001622,0.000001240,0.000007317,,0.025825327,0.000000000,0.000000000,0.000000000,,0.153491691,#NUM!
410.9,2,20170626,20170626,0.45132,0.11043,0.03839,0.05677,,25.160792,15.216801,0.814050,1.128900,,21.864698,5.846133,0.299151,1.171689,,0.023802,0.040090,0.030400,0.062061,,-0.926099,0.708417,1.603760,1.883356,2.498210,5.328153,,67.79480843,0.371137679,#NUM!,,0.035385260,0.015012813,0.014773769,0.014892868,,0.014538086,0.427059132,0.090177340,0.732941154,,0.014538066,0.998841486,0.014538073,0.183992003,,0.039922053,0.015255257,0.015012813,0.014950403,,0.000000000,0.000000000,0.000000000,0.000000000,,0.021978022,#NUM!
410.11,8,20170626,20170626,1.14262,0.63806,0.30827,0.11543,,1.082565,0.773694,0.694414,0.479474,,0.967820,0.868719,0.846537,0.666061,,1.462825,1.189487,2.044566,#NUM!,,1.112843,3.272551,3.559567,6.179959,9.094534,14.659314,,5.585352178,1.564723492,#NUM!,,0.287255613,0.003289709,0.000004278,0.000001249,,0.722437716,0.000034053,0.000001103,0.000001136,,0.496948916,0.170407768,0.079998642,0.007679871,,0.003494978,0.000790847,0.000001161,#NUM!,,0.003779406,0.000000000,0.000000000,0.000000000,,0.002307602,#NUM!
410.12,8,20170626,20170626,0.96525,0.68710,0.50461,0.42603,,0.487182,0.510960,0.646745,0.822648,,0.496476,0.387071,0.414909,1.135341,,0.481803,0.405434,0.338240,0.329050,,0.703036,2.761342,3.121473,6.364457,15.119555,42.056496,,48.59011634,1.523879290,#NUM!,,0.934847689,0.023156796,0.000647348,0.000531233,,0.000022351,0.000001178,0.000001103,0.002911764,,0.000056939,0.000001277,0.000001103,0.076208824,,0.090352162,0.000001645,0.000001240,0.000001256,,0.734548271,0.000000000,0.000000000,0.000000000,,0.040902268,#NUM!
410.13,7,20170626,20170626,1.22578,0.71420,0.43514,0.20973,,1.204561,0.819913,0.809648,0.639356,,1.387423,0.913192,1.002134,0.851525,,1.327179,1.003683,1.134599,1.321088,,1.222932,3.846652,3.801582,7.127292,13.201769,26.290876,,8.549987037,1.947963715,#NUM!,,0.065629789,0.045629418,0.000081627,0.000008889,,0.359959627,0.005721132,0.000006051,0.000019615,,0.031640030,0.240744487,0.730579463,0.064280427,,0.102351872,0.361586240,0.012356528,0.123428406,,0.000001434,0.000006359,0.000000000,0.000000000,,0.000158768,#NUM!
410.15,1,20170626,20170626,0.43193,0.14180,0.06576,0.03494,,0.206193,0.365257,0.674176,0.743388,,3.960990,0.648920,0.830174,0.534293,,0.049516,0.079194,0.269953,0.496046,,-0.841279,0.973933,1.713039,2.336321,3.058430,4.822903,,9.46861891,0.875636458,#NUM!,,0.125843947,0.085482577,0.085482577,0.084737903,,0.086987793,0.084737903,0.083998486,0.141816639,,0.084737841,0.124830998,0.280730303,0.104995740,,0.209341514,0.086232532,0.085482577,0.088401708,,0.000000000,0.000000000,0.000000000,0.000000000,,0.923076923,#NUM!
