Construct,# Replicates,First Assay Date,Last Assay Date,1FP,3FP,10FP,160FP,,Rise (1FP),Rise (3FP),Rise (10FP),Rise (160FP),,TimeToPeak (1FP),TimeToPeak (3FP),TimeToPeak (10FP),TimeToPeak (160FP),,Decay (1FP),Decay (3FP),Decay (10FP),Decay (160FP),,d-Prime1,d-Prime10,SNR (1FP),SNR (3FP),SNR (10FP),SNR (160FP),,ES50,Norm. F0,dFmax/F0,,1FP(p),3FP(p),10FP(p),160FP(p),,Rise (1FP)(p),Rise (3FP)(p),Rise (10FP)(p),Rise (160FP)(p),,TimeToPeak (1FP)(p),TimeToPeak (3FP)(p),TimeToPeak (10FP)(p),TimeToPeak (160FP)(p),,Decay (1FP)(p),Decay (3FP)(p),Decay (10FP)(p),Decay (160FP)(p),,SNR (1FP)(p),SNR (3FP)(p),SNR (10FP)(p),SNR (160FP)(p),,Norm. F0(p),dFmax/F0(p)
410.6,8,20170626,20170626,0.35,0.34,0.45,0.69,,0.60,0.68,0.86,1.38,,0.47,0.50,0.68,1.20,,0.36,0.32,0.31,0.34,,0.066916481,2.963405848,2.47,5.18,14.98,41.47,,48.08614426,1.199961305,#NUM!,,0.000006722,0.000005084,0.000009916,0.002665475,,0.000032173,0.000001144,0.000002024,0.002838865,,0.000014616,0.000001159,0.000001362,0.052535414,,0.000009016,0.000001144,0.000001144,0.000001574,,0.000000000,0.000000000,0.000000000,0.000000000,,0.164875180,#NUM!
410.7,6,20170626,20170626,0.56,0.32,0.32,0.40,,4.24,2.73,1.96,2.22,,4.30,2.93,2.69,1.16,,2.12,2.67,2.75,1.51,,0.176631942,2.735971689,2.55,3.83,5.98,19.73,,35.29670086,0.655940533,#NUM!,,0.006655261,0.000064630,0.000043126,0.000039428,,0.000029476,0.000024867,0.000023749,0.000063032,,0.000024382,0.000024063,0.000023906,0.234434091,,0.000199498,0.000027079,0.000029095,0.003332766,,0.000000000,0.000000000,0.000000000,0.000000000,,0.000898913,#NUM!
410.8,8,20170626,20170626,0.97,0.53,0.46,0.47,,1.93,1.29,1.14,1.23,,1.56,1.25,1.18,0.93,,1.20,1.13,0.95,0.91,,0.872027397,3.539477587,3.44,6.03,11.16,21.60,,9.870853534,0.824302793,#NUM!,,0.374042179,0.000072928,0.000004931,0.000003345,,0.000013548,0.000012408,0.000161313,0.017148685,,0.000034217,0.005421454,0.032669782,0.948388320,,0.027610914,0.107551196,0.483613312,0.107653643,,0.000000000,0.000000000,0.000000000,0.000000000,,0.041777775,#NUM!
410.9,2,20170626,20170626,0.27,0.07,0.04,0.10,,47.35,24.72,1.17,2.09,,50.75,13.96,0.63,1.35,,0.06,0.12,0.09,0.09,,-0.926099181,0.708417296,1.60,1.88,2.50,5.33,,67.79480843,0.253948092,#NUM!,,0.016366809,0.014719567,0.014719567,0.014824653,,0.014511362,0.016950795,0.561977898,0.027621912,,0.014511308,0.996922191,0.014824606,0.049295912,,0.015469165,0.014719567,0.014719567,0.014780038,,0.000000000,0.000000000,0.000000000,0.000000000,,0.022232035,#NUM!
410.11,8,20170626,20170626,0.68,0.42,0.29,0.20,,2.04,1.26,1.00,0.89,,2.25,2.07,1.78,0.77,,3.95,3.51,5.72,#NUM!,,1.112843394,3.272551298,3.56,6.18,9.09,14.66,,5.585352178,1.070649981,#NUM!,,0.018380212,0.000006762,0.000001817,0.000001205,,0.000003929,0.000044181,0.353063760,0.099930974,,0.000001694,0.000001319,0.000002525,0.110954753,,0.000006522,0.000001086,0.000001086,#NUM!,,0.000000000,0.000000000,0.000000000,0.000000000,,0.371216059,#NUM!
410.12,8,20170626,20170626,0.57,0.46,0.48,0.74,,0.92,0.83,0.93,1.53,,1.15,0.92,0.87,1.31,,1.30,1.20,0.95,0.46,,0.703036368,2.76134181,3.12,6.36,15.12,42.06,,48.59011634,1.042702675,#NUM!,,0.001362055,0.000086547,0.000059711,0.011211447,,0.103142341,0.000069855,0.001374229,0.000162979,,0.180831790,0.088113537,0.003670213,0.002201753,,0.023555852,0.016046401,0.614889815,0.000002382,,0.000000000,0.000000000,0.000000000,0.000000000,,0.894052327,#NUM!
410.13,7,20170626,20170626,0.73,0.47,0.41,0.37,,2.27,1.33,1.16,1.19,,3.22,2.18,2.11,0.98,,3.58,2.96,3.17,1.84,,1.222931504,3.846652269,3.80,7.13,13.20,26.29,,8.549987037,1.332879186,#NUM!,,0.041343400,0.000050330,0.000013771,0.000007890,,0.000336816,0.000034868,0.000140488,0.028065815,,0.000005714,0.000006339,0.000005251,0.693964137,,0.000006339,0.000005049,0.000005049,0.094177414,,0.000000000,0.000000000,0.000000000,0.000000000,,0.022092056,#NUM!
410.15,1,20170626,20170626,0.26,0.09,0.06,0.06,,0.39,0.59,0.97,1.38,,9.19,1.55,1.75,0.61,,0.13,0.23,0.76,0.69,,-0.841279209,0.973933101,1.71,2.34,3.06,4.82,,9.46861891,0.599147499,#NUM!,,0.089262129,0.084568167,0.084568167,0.084568167,,0.084568167,0.084568167,0.493919807,0.228423054,,0.083914038,0.104612969,0.085888306,0.179367837,,0.089949507,0.084568167,0.201529446,0.191088365,,0.000000000,0.000000000,0.000000000,0.000000000,,0.135166258,#NUM!
410.17,8,20170626,20170626,0.20,0.11,0.08,0.10,,1.82,0.70,0.66,1.08,,2.94,1.29,0.53,1.23,,1.27,2.73,2.90,0.28,,0.118371569,1.924225569,2.35,3.53,5.23,11.20,,27.33531305,1.805335164,#NUM!,,0.000001389,0.000001159,0.000001144,0.000001159,,0.000004179,0.000024395,0.000001159,0.200138320,,0.000001716,0.052223727,0.000001152,0.046874924,,0.350412127,0.000001269,0.000001481,0.000001496,,0.000000000,0.000000000,0.000000000,0.000000000,,0.002190545,#NUM!
410.18,5,20170626,20170626,0.45,0.30,0.28,0.35,,1.45,0.97,0.99,1.16,,1.60,0.75,0.89,0.94,,1.04,0.61,0.48,0.61,,0.280818969,2.550108671,2.61,3.81,6.95,15.90,,31.9068527,0.332249820,#NUM!,,0.004154524,0.000253550,0.000166000,0.000155533,,0.004028420,0.823944633,0.531838712,0.093764593,,0.110061033,0.033259665,0.033326926,0.751501160,,0.633058289,0.001801544,0.000600692,0.000657386,,0.000000000,0.000000000,0.000000000,0.000000000,,0.000583090,#NUM!
410.20,8,20170626,20170626,0.22,0.05,0.02,0.08,,2.77,1.30,1.10,3.89,,26.20,3.63,1.67,1.26,,0.09,0.13,0.47,0.40,,-0.44450748,0.370656461,1.88,2.19,2.39,5.63,,70.63925358,0.708626032,#NUM!,,0.000001389,0.000001144,0.000001144,0.000001152,,0.016502692,0.341881831,0.076380215,0.000001328,,0.000001086,0.000001683,0.000001783,0.010038732,,0.000001662,0.000001144,0.000230281,0.000001849,,0.000000000,0.000000000,0.000000000,0.000000000,,0.000323375,#NUM!
410.23,5,20170626,20170626,0.41,0.26,0.29,0.72,,1.58,1.09,1.08,2.66,,1.16,1.22,0.98,1.35,,0.91,0.92,0.70,0.36,,-0.079582825,3.100812435,2.39,3.54,6.84,27.18,,66.00714725,0.538412511,#NUM!,,0.000260052,0.000157576,0.000151523,0.026648791,,0.041550430,0.643499402,0.008200291,0.000173717,,0.053405117,0.602177072,0.304747580,0.007665826,,0.367447581,0.407563352,0.000913143,0.000129941,,0.000000000,0.000000000,0.000000000,0.000000000,,0.000701094,#NUM!
410.25,8,20170626,20170626,0.28,0.27,0.44,1.00,,1.20,0.85,1.06,1.95,,0.90,0.98,0.94,1.27,,1.15,1.23,1.03,0.59,,0.076485179,2.319499016,2.32,5.04,16.96,62.66,,63.6158019,1.145599604,#NUM!,,0.000002916,0.000004389,0.000168076,0.490037938,,0.388682300,0.000356369,0.019755967,0.000016802,,0.226517837,0.772546387,0.178545112,0.004968617,,0.315239279,0.021656335,0.635767672,0.000031894,,0.000000000,0.000000000,0.000000000,0.000814222,,0.261648357,#NUM!
410.26,7,20170626,20170626,0.29,0.24,0.33,0.65,,0.61,0.89,1.01,1.70,,3.06,1.25,0.79,1.29,,0.24,0.65,0.61,0.43,,-0.420625448,2.386096001,2.02,3.13,6.59,19.34,,58.57357803,0.394367874,#NUM!,,0.000009926,0.000007790,0.000009256,0.000196343,,0.057764084,0.037040896,0.790257070,0.000103297,,0.000423674,0.208177735,0.001904954,0.196057178,,0.000140488,0.000817955,0.000007259,0.000012777,,0.000000000,0.000000000,0.000000000,0.000000000,,0.000057993,#NUM!
410.27,2,20170626,20170626,0.34,0.14,0.11,0.23,,1.97,1.20,1.10,2.59,,1.38,1.02,1.02,1.25,,0.46,0.70,0.71,0.40,,-0.23726812,1.393542409,2.34,2.55,3.47,7.22,,60.01216901,0.503701389,#NUM!,,0.018300312,0.015036811,0.014719567,0.014930400,,0.019207267,0.037365548,0.094355707,0.017923239,,0.104926809,0.801024480,0.783188515,0.204402798,,0.034634405,0.044458574,0.037601199,0.016287159,,0.000000000,0.000000000,0.000000000,0.000000000,,0.022232035,#NUM!
410.28,8,20170626,20170626,0.26,0.11,0.09,0.12,,1.08,0.61,0.61,1.13,,6.41,0.87,0.53,1.12,,0.66,2.62,2.07,0.33,,-0.103733458,1.807839394,2.21,2.91,4.35,8.23,,36.87653817,1.529642344,#NUM!,,0.000001672,0.000001190,0.000001144,0.000001190,,0.496508198,0.000009569,0.000001101,0.296473885,,0.000001261,0.911714969,0.000001152,0.688742605,,0.464616671,0.002874755,0.035038117,0.000001795,,0.000000000,0.000000000,0.000000000,0.000000000,,0.008180144,#NUM!
410.33,3,20170703,20170703,0.66,0.57,0.65,0.93,,0.85,0.67,0.86,1.21,,0.50,0.54,0.68,1.13,,0.35,0.38,0.34,0.39,,-0.208109349,3.827970266,2.21,4.69,11.48,29.81,,43.89916781,0.835607648,#NUM!,,0.028758339,0.013116401,0.019722291,0.374688730,,0.193204681,0.002823150,0.003370028,0.260643570,,0.009345011,0.002862131,0.002881816,0.528961455,,0.005973745,0.002823150,0.002823150,0.003932056,,0.000000000,0.000000000,0.000000000,0.000000000,,0.698086381,#NUM!
