Construct,# Replicates,First Assay Date,Last Assay Date,1FP,3FP,10FP,160FP,,Rise (1FP),Rise (3FP),Rise (10FP),Rise (160FP),,TimeToPeak (1FP),TimeToPeak (3FP),TimeToPeak (10FP),TimeToPeak (160FP),,Decay (1FP),Decay (3FP),Decay (10FP),Decay (160FP),,d-Prime1,d-Prime10,SNR (1FP),SNR (3FP),SNR (10FP),SNR (160FP),,ES50,Norm. F0,dFmax/F0,,1FP(p),3FP(p),10FP(p),160FP(p),,Rise (1FP)(p),Rise (3FP)(p),Rise (10FP)(p),Rise (160FP)(p),,TimeToPeak (1FP)(p),TimeToPeak (3FP)(p),TimeToPeak (10FP)(p),TimeToPeak (160FP)(p),,Decay (1FP)(p),Decay (3FP)(p),Decay (10FP)(p),Decay (160FP)(p),,SNR (1FP)(p),SNR (3FP)(p),SNR (10FP)(p),SNR (160FP)(p),,Norm. F0(p),dFmax/F0(p)
410.6,8,20170626,20170626,0.60,0.52,0.48,0.40,,0.32,0.42,0.60,0.75,,0.21,0.21,0.32,1.04,,0.14,0.11,0.11,0.25,,0.066916481,2.963405848,2.47,5.18,14.98,41.47,,48.08614426,1.753708124,#NUM!,,0.006662855,0.000663657,0.000180130,0.000337440,,0.000003688,0.000001166,0.000001101,0.000828667,,0.000001562,0.000001166,0.000001101,0.560451847,,0.005317094,0.000001317,0.000001235,0.000001247,,0.000000000,0.000000000,0.000000000,0.000000000,,0.002974707,#NUM!
410.7,6,20170626,20170626,0.97,0.48,0.34,0.23,,2.26,1.67,1.36,1.20,,1.86,1.22,1.28,1.01,,0.82,0.91,0.98,1.09,,0.176631942,2.735971689,2.55,3.83,5.98,19.73,,35.29670086,0.958637774,#NUM!,,0.983609687,0.001442994,0.000119771,0.000048335,,0.000115043,0.000047996,0.000028088,0.043484051,,0.000919376,0.031256072,0.007189598,0.975089020,,0.712154516,0.024609627,0.663777472,0.101222148,,0.000000000,0.000000000,0.000000000,0.000000000,,0.616461969,#NUM!
410.8,8,20170626,20170626,1.67,0.81,0.50,0.27,,1.03,0.79,0.79,0.67,,0.68,0.52,0.56,0.81,,0.47,0.39,0.34,0.65,,0.872027397,3.539477587,3.44,6.03,11.16,21.60,,9.870853534,1.204694271,#NUM!,,0.004221815,0.182594862,0.000083883,0.000005548,,0.632373239,0.000080000,0.000001109,0.000004087,,0.008049702,0.000002087,0.000001125,0.177972336,,0.124164269,0.000001607,0.000001235,0.000007224,,0.025897264,0.000000000,0.000000000,0.000000000,,0.153491691,#NUM!
410.9,2,20170626,20170626,0.46,0.11,0.04,0.06,,25.17,15.12,0.81,1.13,,21.99,5.82,0.30,1.17,,0.02,0.04,0.03,0.06,,-0.926099181,0.708417296,1.60,1.88,2.50,5.33,,67.79480843,0.371137679,#NUM!,,0.036876029,0.015000204,0.014765482,0.014882435,,0.014534003,0.435180782,0.087700370,0.716017698,,0.014533984,0.998861728,0.014533991,0.181308877,,0.043820547,0.015238207,0.015000204,0.014933769,,0.000000000,0.000000000,0.000000000,0.000000000,,0.021978022,#NUM!
410.11,8,20170626,20170626,1.16,0.64,0.31,0.12,,1.08,0.77,0.69,0.48,,0.97,0.87,0.84,0.67,,1.52,1.19,2.04,#NUM!,,1.112843394,3.272551298,3.56,6.18,9.09,14.66,,5.585352178,1.564723492,#NUM!,,0.250971930,0.003491294,0.000004527,0.000001244,,0.705838332,0.000032154,0.000001101,0.000001133,,0.467115627,0.159928254,0.075088938,0.007733624,,0.002633841,0.000767207,0.000001149,#NUM!,,0.003796529,0.000000000,0.000000000,0.000000000,,0.002307602,#NUM!
410.12,8,20170626,20170626,0.98,0.69,0.51,0.43,,0.49,0.51,0.65,0.83,,0.50,0.39,0.41,1.14,,0.50,0.41,0.34,0.33,,0.703036368,2.76134181,3.12,6.36,15.12,42.06,,48.59011634,1.523879290,#NUM!,,0.853930932,0.023487043,0.000779150,0.000799438,,0.000024255,0.000001174,0.000001101,0.003229836,,0.000062064,0.000001271,0.000001101,0.072451644,,0.156159360,0.000001630,0.000001235,0.000001247,,0.733292520,0.000000000,0.000000000,0.000000000,,0.040902268,#NUM!
410.13,7,20170626,20170626,1.25,0.72,0.44,0.21,,1.20,0.81,0.81,0.64,,1.40,0.91,1.00,0.85,,1.38,1.01,1.13,1.32,,1.222931504,3.846652269,3.80,7.13,13.20,26.29,,8.549987037,1.947963715,#NUM!,,0.055743085,0.046191867,0.000090675,0.000009499,,0.344212595,0.005189266,0.000006022,0.000019805,,0.026924073,0.228731394,0.770306380,0.065761585,,0.077219563,0.353601539,0.010672197,0.123582867,,0.000001442,0.000006355,0.000000000,0.000000000,,0.000158768,#NUM!
410.15,1,20170626,20170626,0.44,0.14,0.07,0.04,,0.21,0.36,0.67,0.75,,3.98,0.65,0.83,0.54,,0.05,0.08,0.27,0.50,,-0.841279209,0.973933101,1.71,2.34,3.06,4.82,,9.46861891,0.875636458,#NUM!,,0.128997037,0.085443397,0.085443397,0.084711968,,0.088420315,0.084711968,0.083985613,0.142762076,,0.083985552,0.123985967,0.277450075,0.104580479,,0.219681741,0.086179923,0.085443397,0.088268370,,0.000000000,0.000000000,0.000000000,0.000000000,,0.923076923,#NUM!
410.17,8,20170626,20170626,0.33,0.16,0.09,0.06,,0.97,0.43,0.46,0.58,,1.27,0.54,0.25,1.07,,0.49,0.93,1.04,0.20,,0.118371569,1.924225569,2.35,3.53,5.23,11.20,,27.33531305,2.638444424,#NUM!,,0.000005437,0.000001307,0.000001235,0.000001183,,0.905506101,0.000001174,0.000001101,0.000022914,,0.078525425,0.000014135,0.000001101,0.573449824,,0.133836722,0.177972346,0.643542934,0.000001247,,0.000000000,0.000000000,0.000000000,0.000000000,,0.001365743,#NUM!
410.18,5,20170626,20170626,0.77,0.45,0.30,0.20,,0.77,0.59,0.69,0.63,,0.69,0.31,0.42,0.82,,0.40,0.21,0.17,0.44,,0.280818969,2.550108671,2.61,3.81,6.95,15.90,,31.9068527,0.485573322,#NUM!,,0.601387969,0.002673927,0.000319205,0.000181615,,0.051930547,0.000146252,0.000114040,0.000221740,,0.119183462,0.000120954,0.000114040,0.103235764,,0.120900686,0.000134013,0.000122743,0.000128679,,0.000000000,0.000000000,0.000000000,0.000000000,,0.006140918,#NUM!
