Construct,# Replicates,First Assay Date,Last Assay Date,1FP,3FP,10FP,160FP,,Rise (1FP),Rise (3FP),Rise (10FP),Rise (160FP),,TimeToPeak (1FP),TimeToPeak (3FP),TimeToPeak (10FP),TimeToPeak (160FP),,Decay (1FP),Decay (3FP),Decay (10FP),Decay (160FP),,d-Prime1,d-Prime10,SNR (1FP),SNR (3FP),SNR (10FP),SNR (160FP),,ES50,Norm. F0,dFmax/F0,,1FP(p),3FP(p),10FP(p),160FP(p),,Rise (1FP)(p),Rise (3FP)(p),Rise (10FP)(p),Rise (160FP)(p),,TimeToPeak (1FP)(p),TimeToPeak (3FP)(p),TimeToPeak (10FP)(p),TimeToPeak (160FP)(p),,Decay (1FP)(p),Decay (3FP)(p),Decay (10FP)(p),Decay (160FP)(p),,SNR (1FP)(p),SNR (3FP)(p),SNR (10FP)(p),SNR (160FP)(p),,Norm. F0(p),dFmax/F0(p)
410.6,8,20170626,20170626,0.64875,0.51407,0.48435,0.40590,,0.331647,0.435830,0.601487,0.752069,,0.256155,0.211147,0.323689,1.044364,,0.267309,0.093470,0.103560,0.245046,,0.066916,2.963406,2.466049,5.175575,14.979665,41.474400,,48.086144,1.753708,#NUM!,,0.027612,0.000628,0.000176,0.000277,,0.000005,0.000001,0.000001,0.000875,,0.000002,0.000001,0.000001,0.562352,,0.020856,0.000001,0.000001,0.000001,,0.000000,0.000000,0.000000,0.000000,,0.002975,#NUM!
410.7,6,20170626,20170626,0.83108,0.50761,0.34134,0.23672,,2.444261,1.742057,1.366558,1.210450,,1.831821,1.471449,1.282688,1.006023,,0.171703,0.846909,0.899755,1.039317,,0.176632,2.735972,2.548552,3.830386,5.983842,19.733816,,35.296701,0.958638,#NUM!,,0.580831,0.002641,0.000119,0.000045,,0.000072,0.000031,0.000026,0.039033,,0.000402,0.005552,0.005642,0.976189,,0.019310,0.032408,0.257083,0.152596,,0.000000,0.000000,0.000000,0.000000,,0.616462,#NUM!
410.8,8,20170626,20170626,1.68841,0.81745,0.50270,0.27478,,1.018682,0.817135,0.795708,0.671261,,0.807981,0.524826,0.563490,0.812545,,1.091347,0.344619,0.326268,0.617992,,0.872027,3.539478,3.435531,6.034369,11.162928,21.604313,,9.868694,1.204694,#NUM!,,0.002346,0.221237,0.000080,0.000005,,0.940078,0.000330,0.000001,0.000004,,0.022867,0.000003,0.000001,0.179202,,0.858379,0.000002,0.000001,0.000005,,0.010511,0.000000,0.000000,0.000000,,0.153492,#NUM!
410.9,2,20170626,20170626,0.21619,0.07442,0.03947,0.05847,,0.601498,0.528017,0.815762,1.139764,,0.125771,0.123736,0.299852,1.172871,,0.036338,0.007161,0.018942,0.051073,,-0.926099,0.708417,1.603760,1.883356,2.498210,5.328153,,67.794808,0.371138,#NUM!,,0.016916,0.014797,0.014797,0.014923,,0.241503,0.207465,0.091534,0.697507,,0.014923,0.014673,0.014550,0.180301,,0.021442,0.014923,0.014923,0.014941,,0.000000,0.000000,0.000000,0.000000,,0.021978,#NUM!
410.11,8,20170626,20170626,1.34624,0.69966,0.31690,0.11888,,0.835183,0.786742,0.695875,0.484088,,1.102463,0.873325,0.848520,0.666733,,2.238563,1.506565,1.720278,#NUM!,,1.112843,3.272551,3.559567,6.179959,9.094534,14.659314,,5.087666,1.564723,#NUM!,,0.044604,0.017221,0.000005,0.000001,,0.228195,0.000089,0.000001,0.000001,,0.765392,0.191807,0.085601,0.007960,,0.001781,0.000007,0.000002,#NUM!,,0.001288,0.000000,0.000000,0.000000,,0.002308,#NUM!
410.12,8,20170626,20170626,1.06021,0.69622,0.51872,0.43874,,0.483154,0.527406,0.648106,0.830565,,0.621756,0.389123,0.415881,1.136487,,0.757524,0.397736,0.323670,0.323010,,0.703036,2.761342,3.121473,6.364457,15.119555,42.056496,,48.590116,1.523879,#NUM!,,0.533027,0.027293,0.000784,0.000664,,0.000079,0.000001,0.000001,0.003421,,0.000780,0.000001,0.000001,0.074240,,0.570576,0.000002,0.000001,0.000001,,0.987283,0.000000,0.000000,0.000000,,0.040902,#NUM!
410.13,7,20170626,20170626,1.41282,0.76580,0.44731,0.21598,,1.191483,0.831100,0.811352,0.645509,,1.267616,1.032099,1.004482,0.852384,,2.583038,1.251780,1.060463,1.275391,,1.222932,3.846652,3.801582,7.127292,13.201769,26.290876,,8.471377,1.947964,#NUM!,,0.014590,0.128588,0.000088,0.000009,,0.337433,0.001902,0.000006,0.000020,,0.042379,0.932681,0.690035,0.065810,,0.000734,0.014459,0.267559,0.166876,,0.000000,0.000019,0.000000,0.000000,,0.000159,#NUM!
410.15,1,20170626,20170626,0.20226,0.11482,0.06760,0.03598,,0.212987,0.407578,0.675594,0.750542,,0.132883,0.652360,0.832119,0.534832,,0.034783,0.009472,0.009645,0.310718,,-0.841279,0.973933,1.713039,2.336321,3.058430,4.822903,,9.554170,0.875636,#NUM!,,0.084812,0.085594,0.085594,0.084812,,0.087977,0.084812,0.084035,0.141860,,0.085594,0.131624,0.285654,0.105256,,0.087977,0.085594,0.085594,0.085260,,0.000000,0.000000,0.000000,0.000000,,0.923077,#NUM!
410.17,8,20170626,20170626,0.32837,0.17574,0.09013,0.05732,,0.697915,0.399573,0.462788,0.586600,,0.892269,0.599340,0.253501,1.070965,,0.097244,0.710926,0.725964,0.179050,,0.118372,1.924226,2.350049,3.525601,5.231688,11.203838,,27.335313,2.638444,#NUM!,,0.000007,0.000001,0.000001,0.000001,,0.013625,0.000001,0.000001,0.000024,,0.272554,0.000187,0.000001,0.569030,,0.000894,0.000073,0.000133,0.000001,,0.000000,0.000000,0.000000,0.000000,,0.001366,#NUM!
410.18,5,20170626,20170626,0.74291,0.45690,0.30520,0.20354,,0.868196,0.632290,0.694236,0.633034,,0.505859,0.317617,0.421993,0.818018,,0.086244,0.203333,0.147541,0.399605,,0.280819,2.550109,2.611172,3.813437,6.948249,15.904039,,31.906853,0.485573,#NUM!,,0.401969,0.002622,0.000321,0.000176,,0.236971,0.000164,0.000114,0.000217,,0.000497,0.000122,0.000114,0.104732,,0.012661,0.000134,0.000124,0.000128,,0.000000,0.000000,0.000000,0.000000,,0.006141,#NUM!
